source_header
"Timestamp"
"By selecting “I consent” below, you acknowledge that you have read and understood the information above, and that you voluntarily agree to participate.
"
"Are you currently a graduate student in the UCSC Statistics Department?"
"What year are you in your graduate program?"
"How many quarter have you served as a TA in this department?"
"How comfortable are you with Git and GitHub?"
"How interested are you in developing your teaching skills?"
"Do you currently seek out resources to support your teaching or TA responsibilities? (This could include any resource, not just the Wiki.)"
"What resources do you currently rely on for teaching support? Select all that apply."
"If a comprehensive, easy-to-use teaching resource existed for our department, how likely would you be to use it?"
"What would a truly useful teaching resource for our department include? Select all that apply."
"Before this survey, were you aware that the department has a TA Wiki?"
"How did you first learn about the TA Wiki?"
"Have you ever visited the TA Wiki?"
"How frequently do you consult the TA Wiki?"
"When do you typically consult the TA Wiki? Select all that apply."
"Which types of content on the Wiki have you found most useful? Select all that apply"
"How well does the Wiki currently meet your needs as a TA?"
"If the Wiki does NOT fully meet your needs, what is the primary reason?"
"What topics or content do you wish the Wiki covered that it currently does not?"
"Have you ever contributed to the TA Wiki (e.g., edited a page, added content, opened a pull request)?"
"If you have NOT contributed, what are the main reasons? Select all that apply."
"Please rate your agreement with the following statements [I understand how to contribute to the Wiki (e.g., edit pages, submit pull requests)]"
"Please rate your agreement with the following statements [The process for contributing to the Wiki is straightforward]"
"Please rate your agreement with the following statements [I would be more likely to contribute if there were a simpler editing interface (e.g., web-based editor instead of Git)]"
"Please rate your agreement with the following statements [I would be more likely to contribute if I received training or a walkthrough]"
"Please rate your agreement with the following statements [I feel a sense of ownership over the Wiki as a shared departmental resource]"
"What would make you more likely to contribute to the Wiki in the future?"
"How does the fact that the Wiki is hosted on GitHub affect your willingness to use it?"
"How does GitHub hosting affect your willingness to contribute to the Wiki?"
"What do you see as the biggest advantage of hosting the Wiki on GitHub? Select all that apply."
"What do you see as the biggest disadvantage of hosting the Wiki on GitHub? Select all that apply"
"Were you aware that the department held a TA Wiki editathon?"
"If you were aware but did NOT participate, what were the main reasons? Select all that apply."
"If you DID participate in the editathon, how would you rate the experience?"
"What would have made the editathon more appealing or effective? Select all that apply."
"Please rate your agreement with the following statements: [The TA Wiki is (or could be) a valuable resource for our department]"
"Please rate your agreement with the following statements: [A well-maintained TA Wiki would improve the quality of teaching in our department]"
"Please rate your agreement with the following statements: [New TAs would benefit from consulting the Wiki before their first assignment]"
"Please rate your agreement with the following statements: [I would recommend the Wiki to a fellow grad student]"
"Please rate your agreement with the following statements: [The Wiki should be maintained and updated as an ongoing departmental resource]"
"If you could change ONE thing about the TA Wiki, what would it be?"
"Is there anything else you’d like to share about your experience with the TA Wiki, the editathon, or teaching support in the department more broadly?"
