"Domain","Indicator","Result","Note","Evidence profile","Routing status","Release status"
"Current resources","Peer advice","11/12 (92%)","Multiple-selection current-resource item.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Current resources","Instructor/faculty advice","7/12 (58%)","Multiple-selection current-resource item.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Current resources","Online resources","7/12 (58%)","Multiple-selection current-resource item.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Desired features","Course-specific tips","8/10 (80%)","Desired features of a general departmental teaching resource; two invalid responses.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Desired features","Rubrics/examples","8/10 (80%)","Desired features of a general departmental teaching resource; two invalid responses.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Desired features","Lesson or activity ideas","8/10 (80%)","Desired features of a general departmental teaching resource; two invalid responses.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Desired features","Templates","7/10 (70%)","Desired features of a general departmental teaching resource; two invalid responses.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Needs met","Very well or complete","4/9 (44%)","Item-specific denominator; three missing responses.","structured_supplement","routing_unverified_for_related_reason_item","aggregate_exact_count"
"Needs met","Moderate","2/9 (22%)","Item-specific denominator; three missing responses.","structured_supplement","routing_unverified_for_related_reason_item","aggregate_exact_count"
"Needs met","Insufficient use to say","3/9 (33%)","Item-specific denominator; three missing responses.","structured_supplement","routing_unverified_for_related_reason_item","aggregate_exact_count"
"GitHub use effect","No difference","5/12 (42%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub use effect","More likely","4/12 (33%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub use effect","Less likely","3/12 (25%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub contribution effect","No difference","6/12 (50%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub contribution effect","More likely","3/12 (25%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub contribution effect","Less likely","3/12 (25%)","Perception item; no platform effect estimate.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub advantages","Version control","9/11 (82%)","Multiple-selection item; one invalid response.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub advantages","Transparency","7/11 (64%)","Multiple-selection item; one invalid response.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub disadvantages","Steep learning curve","6/11 (54%)","Multiple-selection item; one invalid response.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub disadvantages","Technical setup","6/11 (54%)","Multiple-selection item; one invalid response.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"GitHub disadvantages","Overly formal process","5/11 (46%)","Multiple-selection item; one invalid response.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Editathon","Aware/no participation","8/12 (67%)","Direct editathon-awareness item.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Editathon","Participated","4/12 (33%)","Direct editathon-awareness item.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Ownership","Agree/strongly agree","6/12 (50%)","Sense-of-ownership item; not a governance assignment.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Ownership","Neutral","4/12 (33%)","Sense-of-ownership item; not a governance assignment.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Ownership","Disagree/strongly disagree","2/12 (17%)","Sense-of-ownership item; not a governance assignment.","structured_supplement","direct_or_unconditional_item","aggregate_exact_count"
"Reason-informed scenario","Yes / No / missing","Yes 5; no 6; missing 1","Secondary scenario only; reclassifies missing direct responses as No when a valid noncontribution-reason response exists; routing remains unverified.","restricted_diagnostic","routing_unverified","internal_only_not_manuscript_evidence"
